h3_id,timestamp,current_pm25,pm25_observed_flag,pm25_interpolated_flag,temperature_2m,relative_humidity_2m,wind_speed_10m,wind_direction_10m,precipitation,wind_direction_sin,wind_direction_cos,fire_count_nearby,distance_to_nearest_fire_km,road_density_km_per_sqkm,primary_secondary_road_length_m,building_count,built_up_ratio,industrial_landuse_area_sqm,commercial_landuse_area_sqm,residential_landuse_area_sqm,green_area_sqm,poi_count,area_sqkm,centroid_lat,centroid_lon,pm25_lag_1h,pm25_lag_3h,pm25_lag_24h,hour,day_of_week,month,pm25_t_plus_12h
8760145b0ffffff,2026-04-16 21:00:00+00:00,37.76019299484792,0,1,24.8,59,3.1,208.0,0.0,-0.46947156278589086,-0.8829475928589269,0,,18.236738384288557,9338.34191414403,701,0.026992613224742616,25194.450903872108,248125.5464822102,509322.6508870106,47340.746509702614,516,5.300264015470445,12.99351586765095,77.57380109673092,45.40933103874938,53.61374379316979,37.855267599610634,21,3,4,91.14108746293014
8760145b0ffffff,2026-04-16 22:00:00+00:00,42.70890764015817,0,1,24.1,61,2.7,188.0,0.0,-0.13917310096006552,-0.9902680687415703,0,,18.236738384288557,9338.34191414403,701,0.026992613224742616,25194.450903872108,248125.5464822102,509322.6508870106,47340.746509702614,516,5.300264015470445,12.99351586765095,77.57380109673092,37.76019299484792,43.33915300686089,43.022505245539115,22,3,4,87.70314832197904
8760145b0ffffff,2026-04-16 23:00:00+00:00,41.203077565245636,0,1,23.7,61,3.6,162.0,0.0,0.3090169943749475,-0.9510565162951535,0,,18.236738384288557,9338.34191414403,701,0.026992613224742616,25194.450903872108,248125.5464822102,509322.6508870106,47340.746509702614,516,5.300264015470445,12.99351586765095,77.57380109673092,42.70890764015817,45.40933103874938,41.79581784204839,23,3,4,89.80011976358458
8760145b0ffffff,2026-04-17 00:00:00+00:00,42.6788615011698,0,1,23.4,71,6.4,198.0,0.0,-0.3090169943749473,-0.9510565162951536,0,,18.236738384288557,9338.34191414403,701,0.026992613224742616,25194.450903872108,248125.5464822102,509322.6508870106,47340.746509702614,516,5.300264015470445,12.99351586765095,77.57380109673092,41.203077565245636,37.76019299484792,40.32601833765614,0,4,4,86.34101641175678
8760145b0ffffff,2026-04-17 01:00:00+00:00,47.88733434207421,0,1,23.2,76,4.7,198.0,0.0,-0.3090169943749473,-0.9510565162951536,0,,18.236738384288557,9338.34191414403,701,0.026992613224742616,25194.450903872108,248125.5464822102,509322.6508870106,47340.746509702614,516,5.300264015470445,12.99351586765095,77.57380109673092,42.6788615011698,42.70890764015817,38.228935855283105,1,4,4,81.54070151235385
8760145b0ffffff,2026-04-17 02:00:00+00:00,49.49360384176205,0,1,24.8,71,2.9,223.0,0.0,-0.6819983600624984,-0.7313537016191706,0,,18.236738384288557,9338.34191414403,701,0.026992613224742616,25194.450903872108,248125.5464822102,509322.6508870106,47340.746509702614,516,5.300264015470445,12.99351586765095,77.57380109673092,47.88733434207421,41.203077565245636,50.349717014749835,2,4,4,82.99018792587552
8760145b0ffffff,2026-04-17 03:00:00+00:00,56.78006996754276,0,1,27.6,55,4.0,238.0,0.0,-0.848048096156426,-0.529919264233205,0,,18.236738384288557,9338.34191414403,701,0.026992613224742616,25194.450903872108,248125.5464822102,509322.6508870106,47340.746509702614,516,5.300264015470445,12.99351586765095,77.57380109673092,49.49360384176205,42.6788615011698,51.91375910219885,3,4,4,73.80200110729575
8760145b0ffffff,2026-04-17 04:00:00+00:00,58.70101454500375,0,1,30.4,40,3.4,227.0,0.0,-0.7313537016191703,-0.6819983600624986,0,,18.236738384288557,9338.34191414403,701,0.026992613224742616,25194.450903872108,248125.5464822102,509322.6508870106,47340.746509702614,516,5.300264015470445,12.99351586765095,77.57380109673092,56.78006996754276,47.88733434207421,56.39602427750065,4,4,4,65.70915524431142
8760145b0ffffff,2026-04-17 05:00:00+00:00,67.1325754392607,0,1,32.8,28,4.0,126.0,0.0,0.8090169943749475,-0.587785252292473,0,,18.236738384288557,9338.34191414403,701,0.026992613224742616,25194.450903872108,248125.5464822102,509322.6508870106,47340.746509702614,516,5.300264015470445,12.99351586765095,77.57380109673092,58.70101454500375,49.49360384176205,68.06896469935351,5,4,4,60.10534277788228
8760145b0ffffff,2026-04-17 06:00:00+00:00,71.89812389693668,0,1,33.8,23,10.1,101.0,0.0,0.981627183447664,-0.1908089953765448,0,,18.236738384288557,9338.34191414403,701,0.026992613224742616,25194.450903872108,248125.5464822102,509322.6508870106,47340.746509702614,516,5.300264015470445,12.99351586765095,77.57380109673092,67.1325754392607,56.78006996754276,80.96092169972776,6,4,4,53.28570550308736
8760145b0ffffff,2026-04-17 07:00:00+00:00,81.56537629808831,0,1,34.8,20,13.7,92.0,0.0,0.9993908270190958,-0.034899496702500955,0,,18.236738384288557,9338.34191414403,701,0.026992613224742616,25194.450903872108,248125.5464822102,509322.6508870106,47340.746509702614,516,5.300264015470445,12.99351586765095,77.57380109673092,71.89812389693668,58.70101454500375,72.04375300498873,7,4,4,51.10363427115795
8760145b0ffffff,2026-04-17 08:00:00+00:00,76.76965263864396,0,1,35.2,20,12.9,102.0,0.0,0.9781476007338057,-0.20791169081775934,0,,18.236738384288557,9338.34191414403,701,0.026992613224742616,25194.450903872108,248125.5464822102,509322.6508870106,47340.746509702614,516,5.300264015470445,12.99351586765095,77.57380109673092,81.56537629808831,67.1325754392607,81.47962233019886,8,4,4,48.56376010028992
8760145b0ffffff,2026-04-17 09:00:00+00:00,91.14108746293014,0,1,35.7,19,12.5,120.0,0.0,0.8660254037844387,-0.49999999999999983,0,,18.236738384288557,9338.34191414403,701,0.026992613224742616,25194.450903872108,248125.5464822102,509322.6508870106,47340.746509702614,516,5.300264015470445,12.99351586765095,77.57380109673092,76.76965263864396,71.89812389693668,79.5332031007069,9,4,4,36.391269925914465
8760145b0ffffff,2026-04-17 10:00:00+00:00,87.70314832197904,0,1,35.5,19,14.5,107.0,0.0,0.9563047559630355,-0.29237170472273666,0,,18.236738384288557,9338.34191414403,701,0.026992613224742616,25194.450903872108,248125.5464822102,509322.6508870106,47340.746509702614,516,5.300264015470445,12.99351586765095,77.57380109673092,91.14108746293014,81.56537629808831,84.76570291874688,10,4,4,37.09897379354432
8760145b0ffffff,2026-04-17 11:00:00+00:00,89.80011976358458,0,1,35.0,20,14.0,105.0,0.0,0.9659258262890683,-0.25881904510252085,0,,18.236738384288557,9338.34191414403,701,0.026992613224742616,25194.450903872108,248125.5464822102,509322.6508870106,47340.746509702614,516,5.300264015470445,12.99351586765095,77.57380109673092,87.70314832197904,76.76965263864396,90.86519155455859,11,4,4,38.87497800310606
